#{"t_start": 1779972541.169826, "env_id": "Blackjack4game-v1"}
r,l,t
0.0,3,3.498806
0.0,3,3.501491
0.0,4,3.504756
-0.905792,4,3.508297
-1.0,3,3.510839
0.0,3,3.513408
-1.0,3,3.515968
0.0,6,3.520906
0.0,5,3.525136
0.0,4,3.528489
-0.929747,7,3.535057
-0.340374,3,3.537681
0.0,3,3.540323
0.0,3,3.543048
-0.977359,3,3.545594
0.0,3,3.54814
0.0,3,3.55618
-0.831888,4,3.559467
0.054838,2,3.56112
-0.090918,7,3.569139
0.0,3,3.571862
0.0,3,3.57454
0.0,3,3.577797
0.820736,4,3.581209
-0.108091,2,3.583682
-0.557596,2,3.586246
-0.220819,4,3.590743
-1.0,2,3.592945
-0.18003,4,3.5973
0.0,2,3.599511
0.0,3,3.602944
-0.394956,4,3.606922
0.0,2,3.609075
0.903404,2,3.611838
0.0,3,3.615027
0.0,2,3.61727
0.0,2,3.619595
0.794479,3,3.622488
-0.70078,4,3.626432
0.0,4,3.629912
-0.172664,4,3.679109
-0.821982,4,3.683438
-0.229204,2,3.685456
0.0,3,3.688358
0.389838,2,3.690393
1.0,2,3.692283
0.0,2,3.694148
-0.563024,3,3.697284
-0.43551,3,3.70016
0.0,3,3.703362
-0.525181,3,3.707388
-1.0,3,3.710689
0.0,2,3.71244
1.369792,2,3.714269
0.389632,3,3.717389
0.635044,2,3.719293
1.0,4,3.723405
0.816599,3,3.726304
-0.051334,4,3.730171
0.0,3,3.733045
-0.193926,3,3.735922
0.0,2,3.737769
0.193526,2,3.739623
-0.060602,3,3.742481
0.0,2,3.744703
0.0,3,3.747706
0.0,3,3.83389
0.0,2,3.836128
0.0,2,3.838118
0.0,3,3.841001
0.0,3,3.844061
-0.340395,3,3.847077
-0.399482,4,3.851182
0.0,4,3.855237
-0.248886,3,3.858472
-1.0,4,3.862591
-0.844515,3,3.865814
0.0,3,3.868651
1.0,3,3.87167
0.0,2,3.873617
-0.05818,4,3.878173
0.0,2,3.880011
-1.0,3,3.882839
0.0,2,3.884626
-0.757593,4,3.888454
0.0,5,3.893374
-0.276372,3,3.896209
-0.405267,3,3.89915
0.0,4,3.9038
0.0,3,3.90694
-1.0,4,3.911126
1.0,3,3.914252
0.0,4,3.918713
-0.047412,4,3.922484
0.0,3,3.925882
0.0,4,3.929951
-0.405853,3,3.932966
0.0,2,3.934974
1.0,3,3.937939
-0.248586,5,3.942632
-0.202452,2,3.944707
-0.997722,3,3.947471
0.0,3,3.950124
0.0,3,3.953176
